,is_well_nested,ms,ee,perm,i
264,True,0.38487020499906927,2.0320005396558116,"(2, 1, 0, 3, 4, 5)",0
269,True,0.3814913885844179,2.0320684900569193,"(2, 1, 0, 5, 4, 3)",1
0,True,0.38153346632719415,2.0321221460520285,"(0, 1, 2, 3, 4, 5)",2
240,True,0.38489458625624384,2.0321761580742015,"(2, 0, 1, 3, 4, 5)",3
5,True,0.3784530010383595,2.0321900964531343,"(0, 1, 2, 5, 4, 3)",4
120,True,0.3814441640564314,2.0322251520411005,"(1, 0, 2, 3, 4, 5)",5
245,True,0.3813892562936134,2.032244108475309,"(2, 0, 1, 5, 4, 3)",6
268,True,0.3817302216546791,2.032248161266331,"(2, 1, 0, 5, 3, 4)",7
266,True,0.3851111314768526,2.0322833336858084,"(2, 1, 0, 4, 3, 5)",8
125,True,0.3783991801597622,2.0322931024422077,"(1, 0, 2, 5, 4, 3)",9
4,True,0.3786237394387542,2.032369767662547,"(0, 1, 2, 5, 3, 4)",10
2,True,0.38161942393868464,2.0324049400820243,"(0, 1, 2, 4, 3, 5)",11
244,True,0.3816679376977263,2.0324237796847213,"(2, 0, 1, 5, 3, 4)",12
242,True,0.38503871964729464,2.032458952104198,"(2, 0, 1, 4, 3, 5)",13
124,True,0.3785138241710594,2.0324727736516195,"(1, 0, 2, 5, 3, 4)",14
122,True,0.3817436329663927,2.0325079460710964,"(1, 0, 2, 4, 3, 5)",15
19,False,0.3802927244490666,2.0377757224604034,"(0, 1, 5, 2, 4, 3)",16
139,False,0.3802765148636789,2.037878728449476,"(1, 0, 5, 2, 4, 3)",17
18,False,0.3803033926354952,2.037955393669815,"(0, 1, 5, 2, 3, 4)",18
138,False,0.3803728748556371,2.038058399658888,"(1, 0, 5, 2, 3, 4)",19
359,False,0.3849356929095306,2.039775983008668,"(2, 5, 4, 3, 1, 0)",20
9,False,0.38493569290953084,2.039775983008669,"(0, 1, 3, 4, 5, 2)",21
305,False,0.38393338884473727,2.0398337999403724,"(2, 3, 4, 5, 1, 0)",22
23,False,0.3839333888447374,2.039833799940373,"(0, 1, 5, 4, 3, 2)",23
129,False,0.3849348601395908,2.0398789889977404,"(1, 0, 3, 4, 5, 2)",24
358,False,0.3849348601395908,2.0398789889977404,"(2, 5, 4, 3, 0, 1)",25
143,False,0.38394531108100394,2.039936805929445,"(1, 0, 5, 4, 3, 2)",26
304,False,0.3839453110810039,2.039936805929445,"(2, 3, 4, 5, 0, 1)",27
353,False,0.3851419027432985,2.040041315448317,"(2, 5, 3, 4, 1, 0)",28
15,False,0.3851419027432987,2.0400413154483177,"(0, 1, 4, 3, 5, 2)",29
329,False,0.3841356140924591,2.0400425520564083,"(2, 4, 3, 5, 1, 0)",30
21,False,0.38413561409245944,2.040042552056409,"(0, 1, 5, 3, 4, 2)",31
135,False,0.3851529317422511,2.0401443214373893,"(1, 0, 4, 3, 5, 2)",32
352,False,0.3851529317422511,2.0401443214373893,"(2, 5, 3, 4, 0, 1)",33
328,False,0.38415209490889424,2.040145558045481,"(2, 4, 3, 5, 0, 1)",34
141,False,0.3841520949088943,2.040145558045481,"(1, 0, 5, 3, 4, 2)",35
8,False,0.3850673447344803,2.0402573268950137,"(0, 1, 3, 4, 2, 5)",36
128,False,0.385059652306785,2.0403603328840854,"(1, 0, 3, 4, 2, 5)",37
14,False,0.3851776241533663,2.0405226593346626,"(0, 1, 4, 3, 2, 5)",38
134,False,0.3851955739910633,2.0406256653237342,"(1, 0, 4, 3, 2, 5)",39
343,False,0.38518923784129266,2.040670365004787,"(2, 5, 1, 0, 4, 3)",40
337,False,0.3852674456643581,2.0408284534033143,"(2, 5, 0, 1, 4, 3)",41
342,False,0.38530342765925935,2.0408500362141986,"(2, 5, 1, 0, 3, 4)",42
336,False,0.38542428703767884,2.041008124612726,"(2, 5, 0, 1, 3, 4)",43
302,False,0.3883671213391575,2.0432720600395977,"(2, 3, 4, 1, 0, 5)",44
300,False,0.38836911790147977,2.0434282004297586,"(2, 3, 4, 0, 1, 5)",45
326,False,0.38844936544999925,2.0434808121556336,"(2, 4, 3, 1, 0, 5)",46
324,False,0.38848533259889223,2.0436369525457945,"(2, 4, 3, 0, 1, 5)",47
265,False,0.3930456084566827,2.060697185167043,"(2, 1, 0, 3, 5, 4)",48
267,False,0.39294222224495534,2.060800307987628,"(2, 1, 0, 4, 5, 3)",49
1,False,0.3897720148900257,2.0608187915632588,"(0, 1, 2, 3, 5, 4)",50
241,False,0.39291392375568307,2.060872803585433,"(2, 0, 1, 3, 5, 4)",51
121,False,0.38964330901216254,2.0609217975523313,"(1, 0, 2, 3, 5, 4)",52
3,False,0.3898025014607658,2.060921914383843,"(0, 1, 2, 4, 5, 3)",53
