,is_well_nested,ms,ee,perm,i
264,True,0.6003702465023977,2.2348915627511428,"(2, 1, 0, 3, 4, 5)",0
0,True,0.5882104126019734,2.234891625777194,"(0, 1, 2, 3, 4, 5)",1
269,True,0.587325080754188,2.2348916559241205,"(2, 1, 0, 5, 4, 3)",2
5,True,0.5639866245546035,2.2348917189501716,"(0, 1, 2, 5, 4, 3)",3
266,True,0.6158014054858407,2.234914434930859,"(2, 1, 0, 4, 3, 5)",4
2,True,0.5819133008838517,2.2349144979569098,"(0, 1, 2, 4, 3, 5)",5
268,True,0.5807570909002766,2.2349145285020624,"(2, 1, 0, 5, 3, 4)",6
4,True,0.5691952080293787,2.2349145915281134,"(0, 1, 2, 5, 3, 4)",7
240,True,0.6159244363014306,2.2349421192480037,"(2, 0, 1, 3, 4, 5)",8
120,True,0.5815446100225888,2.234942181697974,"(1, 0, 2, 3, 4, 5)",9
245,True,0.5807179578951315,2.2349422124209815,"(2, 0, 1, 5, 4, 3)",10
125,True,0.5692362991318829,2.234942274870952,"(1, 0, 2, 5, 4, 3)",11
242,True,0.6007557040284435,2.23496499142772,"(2, 0, 1, 4, 3, 5)",12
122,True,0.5885305253980362,2.2349650538776906,"(1, 0, 2, 4, 3, 5)",13
244,True,0.5880682891562796,2.234965084998923,"(2, 0, 1, 5, 3, 4)",14
124,True,0.5645185153541241,2.2349651474488934,"(1, 0, 2, 5, 3, 4)",15
19,False,0.565487544342201,2.23780383720654,"(0, 1, 5, 2, 4, 3)",16
18,False,0.5705750239361586,2.237826709784482,"(0, 1, 5, 2, 3, 4)",17
139,False,0.570555123445141,2.2378543931273205,"(1, 0, 5, 2, 4, 3)",18
138,False,0.5655543718788973,2.237877265705262,"(1, 0, 5, 2, 3, 4)",19
9,False,0.5938300436703077,2.239143525242138,"(0, 1, 3, 4, 5, 2)",20
359,False,0.5938300436703082,2.239143525242139,"(2, 5, 4, 3, 1, 0)",21
23,False,0.5828748051096148,2.239143534120106,"(0, 1, 5, 4, 3, 2)",22
305,False,0.5828748051096154,2.2391435341201067,"(2, 3, 4, 5, 1, 0)",23
15,False,0.5863656017793194,2.23916639744797,"(0, 1, 4, 3, 5, 2)",24
353,False,0.5863656017793201,2.239166397447971,"(2, 5, 3, 4, 1, 0)",25
21,False,0.589622638674968,2.2391664060558076,"(0, 1, 5, 3, 4, 2)",26
329,False,0.5896226386749687,2.239166406055809,"(2, 4, 3, 5, 1, 0)",27
129,False,0.5856064678920672,2.2391940811629176,"(1, 0, 3, 4, 5, 2)",28
358,False,0.5856064678920683,2.2391940811629194,"(2, 5, 4, 3, 0, 1)",29
143,False,0.5894241960214871,2.239194090040886,"(1, 0, 5, 4, 3, 2)",30
304,False,0.589424196021488,2.2391940900408875,"(2, 3, 4, 5, 0, 1)",31
135,False,0.5942695126164993,2.2392169533687505,"(1, 0, 4, 3, 5, 2)",32
352,False,0.5942695126165003,2.239216953368752,"(2, 5, 3, 4, 0, 1)",33
141,False,0.5828056720938679,2.2392169619765876,"(1, 0, 5, 3, 4, 2)",34
328,False,0.5828056720938691,2.239216961976589,"(2, 4, 3, 5, 0, 1)",35
8,False,0.5945431577052839,2.239221027574631,"(0, 1, 3, 4, 2, 5)",36
14,False,0.5867385995119895,2.2392438997804636,"(0, 1, 4, 3, 2, 5)",37
128,False,0.5863430544282033,2.2392715834954107,"(1, 0, 3, 4, 2, 5)",38
134,False,0.5946465956944004,2.239294455701243,"(1, 0, 4, 3, 2, 5)",39
343,False,0.5941665860523979,2.2392985931001053,"(2, 5, 1, 0, 4, 3)",40
342,False,0.5860129247802349,2.2393214656780467,"(2, 5, 1, 0, 3, 4)",41
337,False,0.5855983145570126,2.2393491495124915,"(2, 5, 0, 1, 4, 3)",42
336,False,0.5943248260740497,2.239372022090433,"(2, 5, 0, 1, 3, 4)",43
302,False,0.6025380532857647,2.2407158010440393,"(2, 3, 4, 1, 0, 5)",44
326,False,0.6179576345076209,2.2407386729797403,"(2, 4, 3, 1, 0, 5)",45
300,False,0.617730987954806,2.2407663571650245,"(2, 3, 4, 0, 1, 5)",46
324,False,0.6026732049419287,2.240789229100726,"(2, 4, 3, 0, 1, 5)",47
267,False,0.6544257822673025,2.3747075439194334,"(2, 1, 0, 4, 5, 3)",48
265,False,0.6543381187588496,2.3747075443176593,"(2, 1, 0, 3, 5, 4)",49
3,False,0.6317433840540927,2.374707606945484,"(0, 1, 2, 4, 5, 3)",50
1,False,0.6317540947223719,2.3747076073437094,"(0, 1, 2, 3, 5, 4)",51
243,False,0.654739778602993,2.374758100416294,"(2, 0, 1, 4, 5, 3)",52
241,False,0.6555145075062129,2.3747581008145198,"(2, 0, 1, 3, 5, 4)",53
123,False,0.6322203913936606,2.374758162866264,"(1, 0, 2, 4, 5, 3)",54
121,False,0.6321927760340099,2.37475816326449,"(1, 0, 2, 3, 5, 4)",55
6,False,0.6401446854639314,2.377596759989783,"(0, 1, 3, 2, 4, 5)",56
12,False,0.6403302012890726,2.3776425043753315,"(0, 1, 4, 2, 3, 5)",57
126,False,0.6399842623150724,2.377647315910563,"(1, 0, 3, 2, 4, 5)",58
132,False,0.6399375962601977,2.3776930602961115,"(1, 0, 4, 2, 3, 5)",59
144,False,0.655778194921225,2.378303631855045,"(1, 2, 0, 3, 4, 5)",60
24,False,0.656740610248366,2.3783036324311246,"(0, 2, 1, 3, 4, 5)",61
149,False,0.6316739431531919,2.3783037250280215,"(1, 2, 0, 5, 4, 3)",62
29,False,0.6316865039104357,2.378303725604102,"(0, 2, 1, 5, 4, 3)",63
146,False,0.6566240166280396,2.37832650403476,"(1, 2, 0, 4, 3, 5)",64
26,False,0.6562208358566309,2.37832650461084,"(0, 2, 1, 4, 3, 5)",65
148,False,0.6317738188025765,2.378326597605964,"(1, 2, 0, 5, 3, 4)",66
28,False,0.6318786540438218,2.378326598182044,"(0, 2, 1, 5, 3, 4)",67
11,False,0.6403013413614581,2.378959422012028,"(0, 1, 3, 5, 4, 2)",68
335,False,0.6403013413614589,2.378959422012029,"(2, 4, 5, 3, 1, 0)",69
17,False,0.6401504504396911,2.378959422282159,"(0, 1, 4, 5, 3, 2)",70
311,False,0.6401504504396922,2.378959422282161,"(2, 3, 5, 4, 1, 0)",71
131,False,0.6402737991872024,2.3790099779328084,"(1, 0, 3, 5, 4, 2)",72
334,False,0.640273799187204,2.379009977932811,"(2, 4, 5, 3, 0, 1)",73
137,False,0.6401342735151145,2.3790099782029386,"(1, 0, 4, 5, 3, 2)",74
310,False,0.6401342735151161,2.3790099782029412,"(2, 3, 5, 4, 0, 1)",75
22,False,0.6333782888568713,2.3790141454411726,"(0, 1, 5, 4, 2, 3)",76
20,False,0.6334619741525378,2.3790598899548163,"(0, 1, 5, 3, 2, 4)",77
142,False,0.6334267113922427,2.3790647013619526,"(1, 0, 5, 4, 2, 3)",78
140,False,0.633514164695733,2.3791104458755963,"(1, 0, 5, 3, 2, 4)",79
283,False,0.6409433551858215,2.38116522412678,"(2, 1, 5, 0, 4, 3)",80
282,False,0.6412002694057136,2.3811880967047214,"(2, 1, 5, 0, 3, 4)",81
259,False,0.6408826295827837,2.381266337036027,"(2, 0, 5, 1, 4, 3)",82
258,False,0.6410945796740062,2.381289209613969,"(2, 0, 5, 1, 3, 4)",83
97,False,0.6333180371737714,2.3826601149811006,"(0, 5, 1, 2, 4, 3)",84
96,False,0.633412160006399,2.3826829875590434,"(0, 5, 1, 2, 3, 4)",85
217,False,0.6330359310529564,2.3827612270228657,"(1, 5, 0, 2, 4, 3)",86
216,False,0.6332617718183013,2.3827840996008076,"(1, 5, 0, 2, 3, 4)",87
101,False,0.6579112371283188,2.383999811894667,"(0, 5, 1, 4, 3, 2)",88
