,is_well_nested,ms,ee,perm,i
0,True,0.3355870562149804,1.9552776381300143,"(0, 1, 2, 3, 4, 5)",0
120,True,0.33676375501006933,1.9565126711147875,"(1, 0, 2, 3, 4, 5)",1
1,False,0.337230598021964,1.9568552922288904,"(0, 1, 2, 3, 5, 4)",2
144,False,0.3375796610112749,1.9578461707586314,"(1, 2, 0, 3, 4, 5)",3
24,False,0.3373513130522066,1.9579458943565975,"(0, 2, 1, 3, 4, 5)",4
5,True,0.33796742206080055,1.9580405785358754,"(0, 1, 2, 5, 4, 3)",5
264,True,0.3374891496685477,1.9580721280403548,"(2, 1, 0, 3, 4, 5)",6
121,False,0.33823629053912246,1.9580903252136639,"(1, 0, 2, 3, 5, 4)",7
6,False,0.3376365805557673,1.9583389937360511,"(0, 1, 3, 2, 4, 5)",8
4,True,0.3383187434033697,1.9586356074891094,"(0, 1, 2, 5, 3, 4)",9
2,True,0.33767887011139797,1.9587081890653346,"(0, 1, 2, 4, 3, 5)",10
23,False,0.33824767596693384,1.9592011142782308,"(0, 1, 5, 4, 3, 2)",11
305,False,0.33824767596693384,1.9592011142782308,"(2, 3, 4, 5, 1, 0)",12
125,True,0.3388103447794466,1.9592756115206484,"(1, 0, 2, 5, 4, 3)",13
150,False,0.33827599829555755,1.9593791495840338,"(1, 2, 3, 0, 4, 5)",14
240,True,0.33801415530615364,1.9594068846230943,"(2, 0, 1, 3, 4, 5)",15
145,False,0.33875863359154224,1.9594238248575073,"(1, 2, 0, 3, 5, 4)",16
25,False,0.3384226112377374,1.9595235484554736,"(0, 2, 1, 3, 5, 4)",17
126,False,0.3383295734488939,1.9595740267208244,"(1, 0, 3, 2, 4, 5)",18
22,False,0.33897729518434444,1.9595942861235813,"(0, 1, 5, 4, 2, 3)",19
270,False,0.33831159119661547,1.9596051068657578,"(2, 1, 3, 0, 4, 5)",20
265,False,0.33875416476588943,1.9596497821392307,"(2, 1, 0, 3, 5, 4)",21
3,False,0.33851465815182785,1.9596908142109764,"(0, 1, 2, 4, 5, 3)",22
124,True,0.3390635079872504,1.9598706404738826,"(1, 0, 2, 5, 3, 4)",23
7,False,0.3387170221421778,1.959916647834927,"(0, 1, 3, 2, 5, 4)",24
122,True,0.3383113498408529,1.9599432220501078,"(1, 0, 2, 4, 3, 5)",25
19,False,0.33890526594429127,1.9600255702754128,"(0, 1, 5, 2, 4, 3)",26
294,False,0.3386098889637172,1.960041908241801,"(2, 3, 1, 0, 4, 5)",27
119,False,0.3380831494329276,1.9600543780979887,"(0, 5, 4, 3, 2, 1)",28
153,False,0.3380831494329276,1.9600543780979887,"(1, 2, 3, 4, 5, 0)",29
273,False,0.33887113637492616,1.960280335379712,"(2, 1, 3, 4, 5, 0)",30
118,False,0.33887113637492616,1.960280335379712,"(0, 5, 4, 3, 1, 2)",31
304,False,0.3388599635216552,1.9604361472630036,"(2, 3, 4, 5, 0, 1)",32
