t,h_t,var_h_t,I_t,H_M_lower_bound,real,label,sample
0,3.151330461084516,10.762938549058156,nan,0.0,real,German.Parsed.CSV,0
1,1.9849926565357594,6.192933489242994,1.1663378045487567,1.1663378045487567,real,German.Parsed.CSV,0
2,1.4413573848406347,4.1768506817908175,0.5436352716951247,2.2536083479390063,real,German.Parsed.CSV,0
3,1.1938558019748597,3.390607007314268,0.24750158286577495,2.996113096536331,real,German.Parsed.CSV,0
4,1.1039244602785958,3.1493283745752017,0.08993134169626393,3.355838463321387,real,German.Parsed.CSV,0
5,1.0771998438829764,3.0891602077840252,0.026724616395619405,3.489461545299484,real,German.Parsed.CSV,0
6,1.0706545984885876,3.07502142190884,0.006545245394388832,3.528733017665817,real,German.Parsed.CSV,0
7,1.0687528291012145,3.0713667853089945,0.0019017693873730757,3.5420454033774287,real,German.Parsed.CSV,0
8,1.0682633587956143,3.0704875697792633,0.0004894703056002037,3.5459611658222303,real,German.Parsed.CSV,0
9,1.0680130071427738,3.0699646405536334,0.0002503516528404859,3.5482143306977947,real,German.Parsed.CSV,0
10,1.0679659616580919,3.0698460158409597,4.704548468192904e-05,3.548684785544614,real,German.Parsed.CSV,0
11,1.0679489888763756,3.0698164191356905,1.6972781716306784e-05,3.5488714861434936,real,German.Parsed.CSV,0
12,1.067948014657808,3.069814042630969,9.742185675953863e-07,3.5488831767663047,real,German.Parsed.CSV,0
13,1.067947911267057,3.0698134536982575,1.0339075107168583e-07,3.5488845208460686,real,German.Parsed.CSV,0
14,1.0679471622458354,3.069812574709112,7.490212214911196e-07,3.5488950071431695,real,German.Parsed.CSV,0
15,1.0679471304951373,3.0698125680153665,3.1750698070709404e-08,3.5488954834036406,real,German.Parsed.CSV,0
16,1.0679471300724837,3.0698125677224053,4.2265368982441487e-10,3.5488954901660996,real,German.Parsed.CSV,0
17,1.0679470797767143,3.069812532860036,5.029576932713553e-08,3.548896345194178,real,German.Parsed.CSV,0
18,1.0679470797767143,3.069812532860036,-0.0,3.548896345194178,real,German.Parsed.CSV,0
19,1.0679470797767143,3.069812532860036,-0.0,3.548896345194178,real,German.Parsed.CSV,0
20,1.0679470797767143,3.069812532860036,-0.0,3.548896345194178,real,German.Parsed.CSV,0
